"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","HTTP","",""
"pre_128cipher","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","not offered","",""
"SSLv3","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","not offered","",""
"TLS1","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","not offered","",""
"TLS1_1","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","not offered","",""
"TLS1_2","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","offered","",""
"TLS1_3","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","offered with final","",""
"ALPN_HTTP2","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","h2","",""
"ALPN","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","http/1.1","",""
"cipherlist_NULL","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","offered","",""
"cipher_order-tls1_2","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","server","",""
"cipherorder_TLSv1_2","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","server","",""
"FS","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","offered","",""
"FS_ciphers","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.geoportail-urbanisme.gouv.fr/178.33.22.23","443","OK","prime256v1","",""
