"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","geoportail.gouv.fr/37.59.31.228","443","INFO","HTTP","",""
"pre_128cipher","geoportail.gouv.fr/37.59.31.228","443","INFO","No 128 cipher limit bug","",""
"SSLv2","geoportail.gouv.fr/37.59.31.228","443","OK","not offered","",""
"SSLv3","geoportail.gouv.fr/37.59.31.228","443","OK","not offered","",""
"TLS1","geoportail.gouv.fr/37.59.31.228","443","INFO","not offered","",""
"TLS1_1","geoportail.gouv.fr/37.59.31.228","443","INFO","not offered","",""
"TLS1_2","geoportail.gouv.fr/37.59.31.228","443","OK","offered","",""
"TLS1_3","geoportail.gouv.fr/37.59.31.228","443","OK","offered with final","",""
"ALPN_HTTP2","geoportail.gouv.fr/37.59.31.228","443","OK","h2","",""
"ALPN","geoportail.gouv.fr/37.59.31.228","443","INFO","http/1.1","",""
"cipherlist_NULL","geoportail.gouv.fr/37.59.31.228","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","geoportail.gouv.fr/37.59.31.228","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","geoportail.gouv.fr/37.59.31.228","443","OK","not offered","","CWE-327"
"cipherlist_LOW","geoportail.gouv.fr/37.59.31.228","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","geoportail.gouv.fr/37.59.31.228","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","geoportail.gouv.fr/37.59.31.228","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","geoportail.gouv.fr/37.59.31.228","443","INFO","not offered","",""
"cipherlist_STRONG_FS","geoportail.gouv.fr/37.59.31.228","443","OK","offered","",""
"cipher_order-tls1_2","geoportail.gouv.fr/37.59.31.228","443","OK","server","",""
"cipherorder_TLSv1_2","geoportail.gouv.fr/37.59.31.228","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","geoportail.gouv.fr/37.59.31.228","443","OK","server","",""
"FS","geoportail.gouv.fr/37.59.31.228","443","OK","offered","",""
"FS_ciphers","geoportail.gouv.fr/37.59.31.228","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","geoportail.gouv.fr/37.59.31.228","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","geoportail.gouv.fr/37.59.31.228","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","geoportail.gouv.fr/37.59.31.228","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","geoportail.gouv.fr/37.59.31.228","443","INFO","yes","",""
"sessionresumption_ticket","geoportail.gouv.fr/37.59.31.228","443","INFO","not supported","",""
"sessionresumption_ID","geoportail.gouv.fr/37.59.31.228","443","INFO","supported","",""
"TLS_timestamp","geoportail.gouv.fr/37.59.31.228","443","INFO","random","",""
"certificate_compression","geoportail.gouv.fr/37.59.31.228","443","INFO","none","",""
"clientAuth","geoportail.gouv.fr/37.59.31.228","443","INFO","none","",""
"cert_numbers","geoportail.gouv.fr/37.59.31.228","443","INFO","1","",""
"cert_signatureAlgorithm","geoportail.gouv.fr/37.59.31.228","443","OK","SHA256 with RSA","",""
"cert_keySize","geoportail.gouv.fr/37.59.31.228","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","geoportail.gouv.fr/37.59.31.228","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","geoportail.gouv.fr/37.59.31.228","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","geoportail.gouv.fr/37.59.31.228","443","INFO","46FCF771BF156B9DDADEBC773C5E6692","",""
"cert_serialNumberLen","geoportail.gouv.fr/37.59.31.228","443","INFO","16","",""
"cert_fingerprintSHA1","geoportail.gouv.fr/37.59.31.228","443","INFO","3ED05A7FBC03B6AA5D36E3561E12E8E1140739DA","",""
"cert_fingerprintSHA256","geoportail.gouv.fr/37.59.31.228","443","INFO","F2296536BE6A9C1E1520F8E16F6D035DCD33A73E3531453951B107A93ED730D0","",""
"cert","geoportail.gouv.fr/37.59.31.228","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIhDCCBmygAwIBAgIQRvz3cb8Va53a3rx3PF5mkjANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjQwMjI1MjMwMDAwWhcNMjUwMjI0MjI1OTU5WjCBnjELMAkGA1UEBhMCRlIxETAPBgNVBAcMCFNUIE1BTkRFMUYwRAYDVQQKDD1JTlNUSVRVVCBOQVRJT05BTCBERSBMJ0lORk9STUFUSU9OIEdFT0dSQVBISVFVRSBFVCBGT1JFU1RJRVJFMR8wHQYDVQQDDBZ3d3cuZ2VvcG9ydGFpbC5nb3V2LmZyMRMwEQYDVQQFEwpTMzAxNTcwNDcxMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAlf5BQmOC/AkJUfljkuAWsBRaFr2cSi/6SgsrXnQI0izt0+kPZUqkJ+Z5TR0gbbgYgxZxQ8JVy/Q+XfMz/Pme400OI8j6A1ucWjThMNuyvrr7K+IY9WClUKaBtDQxC/Wss96t1jLnVfR+8y+NwGQHQExtesPURIl89lPzzqU3N8WGy/YMf3CoMXXmRza1JFUBLwvdqDU4N4dNK0G76i79oNdxks3ceQfCcG7BijXcX3wy14uKyX23StAt/xqghf1nGYPA/TY043Ub4XW/3uSLPWcArWOx0jlunfpC4HnPo6Hxf9WOATbnzjjJ9oj2zpiBUeGDkUwmOBT4L/aPmduTZwIDAQABo4ID3DCCA9gwgeQGCCsGAQUFBwEBBIHXMIHUMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMDUGA1UdEQQuMCyCFnd3dy5nZW9wb3J0YWlsLmdvdXYuZnKCEmdlb3BvcnRhaWwuZ291di5mcjAdBgNVHQ4EFgQU9Danly2QaIn1hNZO7s7kQ2kyyYQwggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB1AE51oydcmhDDOFts1N8/Uusd8OCOG41pwLH6ZLFimjnfAAABjeXrSFUAAAQDAEYwRAIgG5o8I+abK3MzQNfeULdGMeGiCl33s57PJoc5lSji3+ACIEtp3ZpX5KYIxEpBiE3BS42ogxNRWruwNERIJur05SYDAHYAzxFW7tUufK/zh1vZaS6b6RpxZ0qwF+ysAdJbd87MOwgAAAGN5etIsAAABAMARzBFAiBQQoX0Kbvlzay2ZA0CPDduvXL1u89OpK644Ad7zVj7LgIhAMlFcvWcVm+OGY3tLVq6TNBeam+evahfqfaEJp7u4modAHUA4JKz/AwdyOdoNh/eYbmWTQpSeBmKctZyxLBNpW1vVAQAAAGN5etNHwAABAMARjBEAiBsCb+eK2z+9HlbyflAumPwwQRPv/XWGEGrvzzyFTRsagIgdE4A4BhzNLCg27Cvly5w7myLgm5Tarfw17PsJxAI2fkwDQYJKoZIhvcNAQELBQADggIBAFwtJagBX2t2FgPH9AdntEbAD5c4N3Mn8vz/n+8JcIw8R+LZvjCRqzBUzd6OdR39b4OYB/C2TpTBDMmQ9n/C7K1WSNU9qcFxL3xfnwo5+gGmi39hGs/HFakSU9FxWburwnq/92ZH9mGJT7JiCZ0F1tNITpJVuRo12iwU2tPWBs2bASevjvJ1PJ4XRG9/iMyCsd51Dx0xcx81JfMpDhgHizqufFgbU1W7xpTvDZuih6uCctthVr4Fhd+xFUu6/+PxdRKk7L81LtxiKF6wrbLYeqzYPFDAyMnPsDtpfqnPV5Tk7V6sFJuO4SSgmOpg5p2aeFr9My9G4vK3D09E3NQBK5/aQ1nhIwlIr+AkHuMDhkZPBuNbN53Us6oB6790fasolHsu8fgpIpp+b7l6rtkX7pgUFOfSFejW0L9+/kCoHy6VIP1ETgIdLgGBoM28W7pn3qDtfKLusNp3a1svYIsKqR0+jcCuyPWwYUvs4qES5GF/qbdPA+1Hl4axMrN+GFVOMi0aZhp1qUz61+FVvFVVQKnQVrIzCguro1gnFKgWyOqJWFkMpf5O88oGult11YVFBh+HhsOk+IyFirHqt57ncNUD3vwWcV4yj98HfYDqWBfQFJjorG9qXn9e89UFQXRP95lWKPca/pb4iavdnL38rYbDsnSi3+fZ43zbvN1nEGEi\n-----END CERTIFICATE-----","",""
"cert_commonName","geoportail.gouv.fr/37.59.31.228","443","OK","www.geoportail.gouv.fr","",""
"cert_commonName_wo_SNI","geoportail.gouv.fr/37.59.31.228","443","INFO","*.ign.fr","",""
"cert_subjectAltName","geoportail.gouv.fr/37.59.31.228","443","INFO","www.geoportail.gouv.fr geoportail.gouv.fr","",""
"cert_trust","geoportail.gouv.fr/37.59.31.228","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","geoportail.gouv.fr/37.59.31.228","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","geoportail.gouv.fr/37.59.31.228","443","INFO","no","",""
"cert_expirationStatus","geoportail.gouv.fr/37.59.31.228","443","OK","350 >= 60 days","",""
"cert_notBefore","geoportail.gouv.fr/37.59.31.228","443","INFO","2024-02-25 23:00","",""
"cert_notAfter","geoportail.gouv.fr/37.59.31.228","443","OK","2025-02-24 22:59","",""
"cert_extlifeSpan","geoportail.gouv.fr/37.59.31.228","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","geoportail.gouv.fr/37.59.31.228","443","INFO","not present","",""
"cert_crlDistributionPoints","geoportail.gouv.fr/37.59.31.228","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","geoportail.gouv.fr/37.59.31.228","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","geoportail.gouv.fr/37.59.31.228","443","LOW","not offered","",""
"cert_mustStapleExtension","geoportail.gouv.fr/37.59.31.228","443","INFO","--","",""
"DNS_CAArecord","geoportail.gouv.fr/37.59.31.228","443","LOW","--","",""
"certificate_transparency","geoportail.gouv.fr/37.59.31.228","443","OK","yes (certificate extension)","",""
"certs_countServer","geoportail.gouv.fr/37.59.31.228","443","INFO","1","",""
"certs_list_ordering_problem","geoportail.gouv.fr/37.59.31.228","443","INFO","no","",""
"cert_caIssuers","geoportail.gouv.fr/37.59.31.228","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert_badOCSP","geoportail.gouv.fr/37.59.31.228","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","geoportail.gouv.fr/37.59.31.228","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","geoportail.gouv.fr/37.59.31.228","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","geoportail.gouv.fr/37.59.31.228","443","INFO","1710181304","",""
"HSTS_time","geoportail.gouv.fr/37.59.31.228","443","OK","182 days (=15724800 seconds) > 15552000 seconds","",""
"HSTS_subdomains","geoportail.gouv.fr/37.59.31.228","443","OK","includes subdomains","",""
"HSTS_preload","geoportail.gouv.fr/37.59.31.228","443","INFO","domain is NOT marked for preloading","",""
"HPKP","geoportail.gouv.fr/37.59.31.228","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","geoportail.gouv.fr/37.59.31.228","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","geoportail.gouv.fr/37.59.31.228","443","INFO","No application banner found","",""
"cookie_count","geoportail.gouv.fr/37.59.31.228","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","geoportail.gouv.fr/37.59.31.228","443","MEDIUM","--","",""
"banner_reverseproxy","geoportail.gouv.fr/37.59.31.228","443","INFO","--","","CWE-200"
"heartbleed","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","geoportail.gouv.fr/37.59.31.228","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","geoportail.gouv.fr/37.59.31.228","443","OK","supported","","CWE-310"
"secure_client_renego","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","geoportail.gouv.fr/37.59.31.228","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","geoportail.gouv.fr/37.59.31.228","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=F2296536BE6A9C1E1520F8E16F6D035DCD33A73E3531453951B107A93ED730D0","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","geoportail.gouv.fr/37.59.31.228","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","geoportail.gouv.fr/37.59.31.228","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-ie_11_winphone81","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_130_osx_10146","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","geoportail.gouv.fr/37.59.31.228","443","INFO","No connection","",""
"clientsimulation-java_8u161","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","geoportail.gouv.fr/37.59.31.228","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","geoportail.gouv.fr/37.59.31.228","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","geoportail.gouv.fr/37.59.31.228","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"protocol_support_score_weighted","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"key_exchange_score","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"key_exchange_score_weighted","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"cipher_strength_score","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"cipher_strength_score_weighted","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"final_score","geoportail.gouv.fr/37.59.31.228","443","INFO","0","",""
"overall_grade","geoportail.gouv.fr/37.59.31.228","443","CRITICAL","T","",""
"grade_cap_reason_1","geoportail.gouv.fr/37.59.31.228","443","INFO","Grade capped to T. Issues with the chain of trust (chain incomplete)","",""
