"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","haute-loire.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","haute-loire.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","haute-loire.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","haute-loire.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","haute-loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","haute-loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","haute-loire.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","haute-loire.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","haute-loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","haute-loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","haute-loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","haute-loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","haute-loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","haute-loire.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","haute-loire.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","haute-loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","haute-loire.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","haute-loire.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","haute-loire.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","haute-loire.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","haute-loire.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","haute-loire.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","haute-loire.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","haute-loire.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","haute-loire.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","haute-loire.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","haute-loire.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","haute-loire.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","haute-loire.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","haute-loire.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","haute-loire.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","haute-loire.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","haute-loire.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","haute-loire.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","haute-loire.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","haute-loire.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","haute-loire.gouv.fr/77.159.252.140","443","INFO","9605EEE14188F2AB9564788EB34D52B8","",""
"cert_serialNumberLen","haute-loire.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","haute-loire.gouv.fr/77.159.252.140","443","INFO","450DE281488E39A4653D90F18CCBEA479B49693E","",""
"cert_fingerprintSHA256","haute-loire.gouv.fr/77.159.252.140","443","INFO","002BEA6539C4A61C3C1861DBD34203F8171E5E197618A1520DC7EF9E2AC4ABF4","",""
