"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","horizon-europe.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","horizon-europe.gouv.fr/185.75.143.93","443","MEDIUM","128 cipher limit bug","",""
"SSLv2","horizon-europe.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","horizon-europe.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","horizon-europe.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","horizon-europe.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","horizon-europe.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","horizon-europe.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN_HTTP2","horizon-europe.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","horizon-europe.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","horizon-europe.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","horizon-europe.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","horizon-europe.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","horizon-europe.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","horizon-europe.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","horizon-europe.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","horizon-europe.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","horizon-europe.gouv.fr/185.75.143.93","443","OK","offered","",""
"cipher_order","horizon-europe.gouv.fr/185.75.143.93","443","INFO","NOT a cipher order configured","",""
"FS","horizon-europe.gouv.fr/185.75.143.93","443","OK","offered","",""
"FS_ciphers","horizon-europe.gouv.fr/185.75.143.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","horizon-europe.gouv.fr/185.75.143.93","443","OK","prime256v1 secp384r1 secp521r1","",""
