"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","imagesdefense.gouv.fr/104.22.34.188","443","INFO","HTTP","",""
"pre_128cipher","imagesdefense.gouv.fr/104.22.34.188","443","INFO","No 128 cipher limit bug","",""
"SSLv2","imagesdefense.gouv.fr/104.22.34.188","443","OK","not offered","",""
"SSLv3","imagesdefense.gouv.fr/104.22.34.188","443","OK","not offered","",""
"TLS1","imagesdefense.gouv.fr/104.22.34.188","443","INFO","not offered","",""
"TLS1_1","imagesdefense.gouv.fr/104.22.34.188","443","INFO","not offered","",""
"TLS1_2","imagesdefense.gouv.fr/104.22.34.188","443","OK","offered","",""
"TLS1_3","imagesdefense.gouv.fr/104.22.34.188","443","OK","offered with final","",""
"ALPN_HTTP2","imagesdefense.gouv.fr/104.22.34.188","443","OK","h2","",""
"ALPN","imagesdefense.gouv.fr/104.22.34.188","443","INFO","http/1.1","",""
"cipherlist_NULL","imagesdefense.gouv.fr/104.22.34.188","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","imagesdefense.gouv.fr/104.22.34.188","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","imagesdefense.gouv.fr/104.22.34.188","443","OK","not offered","","CWE-327"
"cipherlist_LOW","imagesdefense.gouv.fr/104.22.34.188","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","imagesdefense.gouv.fr/104.22.34.188","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","imagesdefense.gouv.fr/104.22.34.188","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","imagesdefense.gouv.fr/104.22.34.188","443","OK","offered","",""
"cipherlist_STRONG_FS","imagesdefense.gouv.fr/104.22.34.188","443","OK","offered","",""
"cipher_order-tls1_2","imagesdefense.gouv.fr/104.22.34.188","443","OK","server","",""
"cipherorder_TLSv1_2","imagesdefense.gouv.fr/104.22.34.188","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","imagesdefense.gouv.fr/104.22.34.188","443","OK","server -- TLS 1.3 client determined","",""
"FS","imagesdefense.gouv.fr/104.22.34.188","443","OK","offered","",""
"FS_ciphers","imagesdefense.gouv.fr/104.22.34.188","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","imagesdefense.gouv.fr/104.22.34.188","443","OK","prime256v1","",""
"TLS_extensions","imagesdefense.gouv.fr/104.22.34.188","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'signed certificate timestamps/#18' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","imagesdefense.gouv.fr/104.22.34.188","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","imagesdefense.gouv.fr/104.22.34.188","443","INFO","yes","",""
"sessionresumption_ticket","imagesdefense.gouv.fr/104.22.34.188","443","INFO","supported","",""
"sessionresumption_ID","imagesdefense.gouv.fr/104.22.34.188","443","INFO","not supported","",""
"TLS_timestamp","imagesdefense.gouv.fr/104.22.34.188","443","INFO","random","",""
"certificate_compression","imagesdefense.gouv.fr/104.22.34.188","443","INFO","0002/Brotli","",""
"clientAuth","imagesdefense.gouv.fr/104.22.34.188","443","INFO","none","",""
"cert_numbers","imagesdefense.gouv.fr/104.22.34.188","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","037D4CA4EC6D082B2CE4EC3BDC6D5B9C762C","",""
"cert_serialNumberLen <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","18","",""
"cert_fingerprintSHA1 <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","0107A71AF61DCC5C990D62B81643E98E247E23D4","",""
"cert_fingerprintSHA256 <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","CE8FB46147E3848342CF93BE676D77BF7657295DA18484BC22D2A808D6401186","",""
"cert <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDzCCA/egAwIBAgISA31MpOxtCCss5Ow73G1bnHYsMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDA1MTkxOTI5MDRaFw0yNDA4MTcxOTI5MDNaMCAxHjAcBgNVBAMTFWltYWdlc2RlZmVuc2UuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALC+SazgH1QxP72ctmm4JAvHwj4wYjzojPQzW3j0XMJ1wG7k+cBS7cxq6iFdPYyI4QWZhLsoECLphauSO+lFEBndQ9dQilCkJRyaCPMINpgE0IS0ZsKsNfK030meebVTQ2J7kv5+laNH0aNJ1HO2GDwroRQq9y1Cf8XHyd0Oby9Ns05LMulbwtv2uQwrA0tN5247Wn3bae9/D/v1Kh6YpRnV5Woe1/0JMgrVFK2R+6tS3XhkyL2Jr8b87mJl5CCbIuUz88PV/5jBadY1ZKTUlIxC4FoiZGKCVXtMOl/w54/h33WZVxynrAUQZ6ClDq5D7ivC3xoEmphdplnOLWzVrtECAwEAAaOCAi8wggIrMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUFUQDquDtSQEC9c+G4l9dTbzbm8IwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wOQYDVR0RBDIwMIIXKi5pbWFnZXNkZWZlbnNlLmdvdXYuZnKCFWltYWdlc2RlZmVuc2UuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB1ABmYEHEJ8NZSLjCA0p4/ZLuDbijM+Q9Sju7fzko/FrTKAAABj5KLK2QAAAQDAEYwRAIgLSjDqnu5kVU3SRsrHk7ULuyXL63mPirmiX8EKMyX89QCIFcGM7ceHttnD7Q+2zaVc6B5Ibpqqw16cH/8KO7BsDFXAHYAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGPkosrXQAABAMARzBFAiAIXbkZH025a9XUiAHaUzlOZZt/WOruNdrZ9RCcmhyrZgIhAOsYIVMdh3GZy0eQhb0B8oa44EPEUt5RTdedW+fvEk1UMA0GCSqGSIb3DQEBCwUAA4IBAQAv/sXpmxmjTR9Q2VqgQPwPfu8L/P9JuZW7yP5gimcOki1bxoxL4hrQGMHbeKYJp1HDzk1DsCS4FI0QxAW2BcHB6XXMAspjAGIstDHhnmDlhevHFkyWGfuiVqu6sck3RkZ/Xem0yWKZWKxn5nw6t2EiMjrflUduBu4FzDT+nhrhvQAtoPbzVZ2kGGaQ/NpbCcFjbjTPUjNLxYZAXoO3Sh5SwIITPCsR66s4USED2khIQaXLGqhgK2tE0IuPPYYbV6qKmJ8q5zjxrJTCwfm8Pj+qocwNr7HFh1Ata+IUISw6JgVFo7Je/fm9HXtfYPwhJx9UDwo1Yduw5oH9HQ+Vsc4G\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","imagesdefense.gouv.fr","",""
"cert_commonName_wo_SNI <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","*.imagesdefense.gouv.fr imagesdefense.gouv.fr","",""
"cert_trust <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","31 >= 30 days","",""
"cert_notBefore <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","2024-05-19 19:29","",""
"cert_notAfter <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","2024-08-17 19:29","",""
"cert_extlifeSpan <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","--","",""
"cert_ocspURL <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","offered","",""
"cert_ocspRevoked <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","not revoked","",""
"cert_mustStapleExtension <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","LOW","--","",""
"certificate_transparency <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","3","",""
"certs_list_ordering_problem <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","no","",""
"cert_caIssuers <hostCert#1>","imagesdefense.gouv.fr/104.22.34.188","443","INFO","R3 (Let's Encrypt from US)","",""
